,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted
12,ZTF18aabsyqp,0.07667208,1.332e-05,z_gal,58183.60938210772,0.001131708,-1.23112522,-0.093517498,0.2829535675191437,7.795595778390535e-05,0.1155903015682342,0.05812476,-1.20E-05,-0.011949311,0.010194994,-9.59E-07,-4.38E-06,0.000124288,0.022616379,3.1,0,0.021318756,162.818489,22.477574,snia-cosmo,norm,1,1,2018aey,100
13,ZTF18aabtaor,0.07968253,1.037e-05,z_gal,58188.99620672599,0.000913881,0.2682808891737634,-0.128799152,0.3063527892809361,4.446317537511234e-05,0.2262749855095245,0.044197193,-1.05E-06,-0.053452983,0.005068227,-2.01E-06,-1.72E-06,-0.001440991,0.017656693,3.1,0,0.1465551936241862,172.095339,44.748985,snia-cosmo,norm,1,1,2018aic,100
14,ZTF18aabtiph,0.03597421,1.48e-05,z_gal,58178.67028134442,0.003541549,-2.37397875,-0.293111121,0.4026628470419382,0.000507067,0.1783517996036394,0.097264739,-0.00010578,0.025200475,0.015537451,-5.57E-05,-4.88E-05,0.010227651,0.018811278,3.1,0,0.1270714817704331,183.846314,27.626488,snia-cosmo,norm,1,0,2018yq,100
15,ZTF18aabtwqb,0.06692991,0.00310846,z_snid,58189.84396430357,0.001408785,0.2653482393990167,-0.118731053,0.394937814,8.371687366804986e-05,0.270372609,0.048423863,-5.56E-06,-0.0712303,0.006591349,-5.99E-06,-3.52E-06,-0.001093362,0.047076006,3.1,0,0.01012408,112.585958,18.190678,snia-cosmo,norm,1,1,2018abj,100
16,ZTF18aabukgo,0.0261185,1.11e-05,z_gal,58785.858268315766,0.001711094,-0.137199686,0.5406329286493873,2.424966969745583,0.001072222,2.244164415974585,0.3935284007630892,-0.001137663,-0.175954291,0.3837332491123062,-0.002203405,-0.000439881,0.8643011902676877,0.011639609,3.1,0,0.3482691459416701,154.926636,43.366308,snia-cosmo,norm,0,0,2019tjj,100
17,ZTF18aabvpeg,0.03703043,1.036e-05,z_gal,58177.50829671015,0.00016821,1.7287281832426629,1.0717112416537422,1.1109729012714524,4.915789517771816e-05,0.8300689964258818,0.1818575161029721,-1.26E-05,-0.034744795,0.0157373,-2.05E-05,-9.06E-06,0.079406259,0.027164194,3.1,0,0.9999999999987434,122.149918,20.063154,snia-cosmo,norm,1,0,,100
18,ZTF18aabxrjp,0.07917714,2.173e-05,z_gal,58191.33234,0.00065187,-0.509389526,0.024136832,0.226172217,3.748608530283894e-05,0.2880605696771287,0.049991179,7.79834326938471e-09,-0.042190987,0.004326187,-3.48E-06,-1.57E-06,-0.001687846,0.020640472,3.1,0,5.431714010997162e-05,185.543276,26.994508,snia-pec,03fg,1,1,2018aii,98.52941176470588
19,ZTF18aabyhlc,0.02905506,1.526e-05,z_gal,58180.62126192248,0.001247359,-2.74757431,0.3330676960088438,0.5041427268151892,0.000122144,0.091428252,0.063529518,-4.25E-05,0.009264298,0.016904983,-6.15E-06,-7.32E-06,0.002846503,0.011580525,3.1,0,0.9955929225303692,226.845147,38.416547,snia,,1,1,2018aab,100
20,ZTF18aadzfso,0.06213131,0.00332866,z_snid,58888.322552095786,0.000802822,-0.171777528,0.1255020765826863,0.099889065,2.79916287742313e-05,0.1730866597751126,0.031509849,-5.03E-07,0.004832859,0.000303407,-1.75E-06,-7.57E-07,0.001079315,0.087385627,3.1,0,0.2671759049336924,106.823644,43.316428,snia,,1,1,2020biz,100
21,ZTF18aaermez,0.02271192,1.002e-05,z_gal,58520.29978082739,0.000425636,0.1557690044799293,1.1999999952530116,0.2134632754896301,1.125606358220996e-05,0.2592813416334733,0.1524290191433681,9.3115514709681e-08,0.030586602,2.7677913713322134e-09,-1.12E-06,-1.09E-11,1.1615119809777358e-08,0.012219365,3.1,0,0.00421125,153.178502,39.373755,snia,,1,0,2019abh,100
22,ZTF18aagrcfl,0.04785957,1.653e-05,z_gal,58192.610793487125,0.0011629,1.253838914310036,0.1511888185044167,0.4211899310757871,5.087570819933352e-05,0.141741702,0.033973048,-1.33E-05,-0.036807963,0.007219403,1.4548039796847583e-06,-1.52E-06,-0.001606132,0.014243939,3.1,0,0.9999579885929912,236.095888,39.558108,snia-cosmo,norm,0,1,2018aej,100
23,ZTF18aagrcir,0.07747969,0.0029904,z_snid,58204.63221817461,0.000977585,-0.570845033,-0.126072683,0.1520391005506098,2.870261238037489e-05,0.081414571,0.028367681,-9.45E-08,-0.000258852,-0.000598671,1.970126700412625e-07,-6.84E-07,-0.000557732,0.019425607,3.1,0,1.0673274201229455e-09,215.692206,49.312289,snia-cosmo,norm,1,0,,100
24,ZTF18aagrebu,0.05492675,1.29e-05,z_gal,58175.73485602864,0.002299459,-1.063222954,-0.211553131,1.5642643837854848,0.000320495,0.1804975006025074,0.072608512,-0.000454242,0.0384904,0.09303598,-2.84E-05,-2.22E-05,0.005568548,0.061193118,3.1,0,0.044697015,250.915858,26.596243,snia-cosmo,norm,0,0,2018zp,100
25,ZTF18aagrgao,0.11405402,2.006e-05,z_gal,58188.299748294514,0.000371721,-1.147976016,-0.053118562,0.8308715566818137,3.7451912833188735e-05,0.163099279,0.054582331,-2.71E-05,0.005532181,0.02883902,-2.03E-06,-1.79E-06,0.002181586,0.052881751,3.1,0,1.1560877812288793e-24,251.856433,25.685133,snia,,0,0,2018bav,98.71244635193132
26,ZTF18aagrtxs,0.02974109,1.121e-05,z_gal,58213.15026791291,0.005583245,-0.711099829,-0.148608617,0.04138177,0.000170287,0.037109825,0.028008571,2.0735687235291903e-06,-0.000202864,-0.000397335,3.193792142581116e-09,-4.14E-06,-0.000116982,0.009839961,3.1,0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1,1,2018amo,100
27,ZTF18aagstdc,0.04036722,0.00388973,z_snid,58214.47844466911,0.004135292,-0.047931292,-0.09761537,0.035814634,0.000125131,0.049832167,0.027517499,1.292591464730712e-06,-0.000336499,-0.000322083,-1.30E-07,-2.99E-06,-0.000123579,0.01723592,3.1,0,0.099247432,237.514822,42.088482,snia-cosmo,norm,1,1,2018apn,100
28,ZTF18aagtcxj,0.03235875,1.75e-05,z_gal,58213.95033146832,0.001038971,-1.883614052,0.4128866070449392,0.04356523,3.4237437996748575e-05,0.046483656,0.029781786,5.297338667171864e-07,-0.000167228,-0.000507592,-5.62E-08,-9.04E-07,-6.11E-05,0.010263233,3.1,0,0.2691278535355169,248.048142,42.713406,snia-cosmo,norm,1,1,2018aqm,99.75786924939467
29,ZTF18aaguhgb,0.12421008,1.13e-05,z_gal,58215.24415964998,0.000387799,0.7711251139219097,-0.004352405,0.071939919,1.2285585163182971e-05,0.079639246,0.031644426,1.3189607855220182e-07,-0.001468808,-0.000482728,-2.15E-07,-3.37E-07,0.000299279,0.012485307,3.1,0,2.702706713697477e-16,219.454116,45.549285,snia-cosmo,norm,1,0,2018bat,100
30,ZTF18aahatvc,0.07784326,1.016e-05,z_gal,58985.92341576101,0.000945047,1.3130588258732798,0.026733648,0.1484076097731304,3.09245691601701e-05,0.1612938627590558,0.03198512,2.819572096952688e-07,-0.005337455,7.756930130233146e-05,-1.14E-06,-7.73E-07,-0.000518309,0.018028642,3.1,0,0.004153958,230.519091,30.048732,snia-cosmo,91t,1,1,2020itn,100
31,ZTF18aahesrp,0.0647862,1.025e-05,z_gal,58207.72169400481,0.000796547,-0.063800724,0.097765187,1.055734092482453,3.4806779271156845e-05,0.5007158074452996,0.052978559,5.885807327779394e-06,-0.433716018,-0.026433456,-5.23E-06,-1.32E-06,0.010462872,0.034747615,3.1,0,0.394840171,128.939288,28.270255,snia-cosmo,norm,0,0,2018aqy,100
32,ZTF18aahfbqp,0.04114499,1.344e-05,z_gal,59208.83655494514,0.003086657,-1.969448826,-0.112339892,0.2042670864066167,0.000170895,0.2787684381615879,0.056368413,-7.93E-07,0.001220338,0.000746747,-2.55E-05,-7.39E-06,0.003757871,0.019828617,3.1,0,0.6495781866120017,156.678658,21.724132,snia-cosmo,norm,1,1,2020acua,100
33,ZTF18aahfeiy,0.07123715,1.295e-05,z_gal,58214.52018798944,0.000936119,1.2857740959956043,0.006734756,0.1748666483654233,3.47661819769778e-05,0.1524123712793775,0.033050177,9.461035453809652e-07,-0.008211185,-0.00131973,-2.15E-06,-1.01E-06,0.00140272,0.00986686,3.1,0,0.987730216,154.31483,43.523469,snia-cosmo,norm,1,1,2018loy,100
34,ZTF18aahfgsk,0.053865,1.313e-05,z_gal,58215.52664059572,0.001643723,0.3158562223135606,-0.108170333,0.1346104073636524,6.24237018180564e-05,0.1080102821011784,0.031677719,-9.88E-07,-0.002238194,0.00014155,-2.94E-06,-1.74E-06,0.000971588,0.02655248,3.1,0,0.1482773888744763,181.242959,32.391378,snia-cosmo,norm,1,1,2018aqk,100
35,ZTF18aahfgyz,0.01196824,1.248e-05,z_gal,58216.08318885292,0.002228559,-2.070351599,0.5492031846228829,0.2978371872923162,0.000108177,0.089392813,0.038844778,-8.35E-06,-0.01179193,0.00092989,-5.74E-07,-3.73E-06,-6.38E-05,0.021913776,3.1,0,6.364753668888416e-45,175.28327,24.819567,snia-pec,91bg,0,0,2018ast,88.88888888888889
36,ZTF18aahfxnn,0.07663562,1.265e-05,z_gal,58222.06777400815,0.000770498,-0.04489627,-0.137278394,0.3890848319460929,6.126364171824607e-05,0.3810644647564464,0.063964978,-5.89E-06,-0.041454414,0.007126835,-1.26E-05,-3.71E-06,0.010042907,0.024840418,3.1,0,0.6705383323057599,176.549865,9.35502,snia-cosmo,norm,1,1,2018bau,100
37,ZTF18aahfzea,0.02435577,1.243e-05,z_gal,58220.33817925686,0.007741027,0.1699589537769325,-0.162483491,0.3243870375699771,0.000365026,0.1538717513159493,0.038807273,-5.67E-05,-0.027017839,0.005519243,-5.22E-06,-1.27E-05,-0.000272879,0.032158049,3.1,0,0.8314140288275885,181.361093,20.299105,snia-cosmo,norm,1,1,2018aqh,100
38,ZTF18aahheaj,0.05275113,1.415e-05,z_gal,58226.14394950876,0.001367171,0.933237214,0.025291618,0.2023885232047177,4.982490388567807e-05,0.1578564448904543,0.032312061,-2.20E-06,-0.008839184,0.001859232,-1.14E-06,-1.39E-06,-0.000227539,0.02177072,3.1,0,0.999173888,195.110534,18.619384,snia-cosmo,norm,1,1,2018avp,100
39,ZTF18aahhenr,0.07637882,2.162e-05,z_gal,58222.06182443193,0.000957447,0.7339063751365624,-0.152800265,0.2159823191723262,3.536808551846116e-05,0.1909675598324022,0.032111406,-1.05E-06,-0.011892605,0.000829124,-2.64E-06,-1.01E-06,0.001828508,0.010154107,3.1,0,0.7969284338125948,207.363157,26.462086,snia-cosmo,91t,1,1,2018are,100
40,ZTF18aahjafd,0.03588143,2.614e-05,z_gal,58230.56988708589,0.001320853,-0.665964408,0.3376155237085839,0.1199764913799299,4.3531776104974856e-05,0.1020819821067517,0.029400926,-2.73E-07,-0.005559552,0.000322462,-4.87E-07,-1.11E-06,-4.68E-05,0.009863088,3.1,0,0.000268283,198.274437,23.459355,snia-cosmo,norm,1,1,2018loz,99.09090909
41,ZTF18aahjaxz,0.04630438,1.365e-05,z_gal,58226.16427617669,0.000463336,-3.041636145,0.3409957160745509,0.1516856894522789,1.8379927700196483e-05,0.1592492834123247,0.037362978,-8.81E-07,-0.002966298,0.001874108,-1.79E-07,-5.95E-07,-0.000405194,0.015736285,3.1,0,0.001843978,193.455954,29.590735,snia-pec,91bg,1,0,2018avg,97.10144927536231
42,ZTF18aahoymn,0.10188538,0.00304631,z_snid,58216.01708282496,0.000564137,1.0003402650594126,-0.020367212,0.6095343820161361,4.599770531117669e-05,0.4803878886640647,0.0723134,1.6806353748619747e-05,-0.138970505,-0.027564044,-1.58E-05,-3.07E-06,0.020003975,0.049685568,3.1,0,0.3824866111607149,140.744815,9.069657,snia,,1,1,2018asj,100
43,ZTF18aahpaoa,0.10129822,0.00042043,z_nonSEDm,58217.68546386412,0.000406352,1.6961296060330957,-0.004995285,0.6154822875505488,4.895762047050988e-05,0.8370112598199021,0.1015151259329591,1.369501859988636e-05,-0.155572861,-0.030432543,-3.48E-05,-4.74E-06,0.065417567,0.023062513,3.1,0,0.1993631107932002,144.455528,12.464052,snia,,1,0,,100
44,ZTF18aahptcq,0.06349391,1.368e-05,z_gal,58221.37948988671,0.000765715,0.412335229,0.1834290773113249,0.4286024876018928,4.611846973694644e-05,0.2390592100024481,0.047851495,-2.97E-06,-0.073541386,0.00385315,-2.03E-06,-2.09E-06,0.00101721,0.037021264,3.1,0,0.3254190759685575,162.318104,26.373088,snia-cosmo,norm,1,1,2018auv,100
45,ZTF18aahpzhc,0.03816618,1.363e-05,z_gal,58204.70828277954,0.001358797,-1.649349348,0.2378779227060758,0.4175297640904318,4.847363536234167e-05,0.130946189,0.035801128,-7.05E-07,-0.017452716,-0.003380066,-3.22E-07,-1.37E-06,-0.000367409,0.007027523,3.1,0,0.1805045797466855,153.23459,46.418115,snia,,0,1,2018ats,100
46,ZTF18aahqavd,0.12050144,0.00042257,z_nonSEDm,58215.01221364798,0.000244755,0.3718106418736486,-0.049842629,0.406955692,1.2799169581144577e-05,0.3214765457092864,0.049068307,-1.57E-07,-0.039811939,-0.002299003,-2.13E-06,-5.60E-07,0.006792987,0.015658386,3.1,0,0.2466313510330209,159.516654,45.256617,snia-cosmo,norm,1,1,2018bba,100
47,ZTF18aahqmsr,0.06210194,1.026e-05,z_gal,58233.97697358328,0.000873743,0.8539242970413163,0.082794694,0.1409132175322156,2.895112583023874e-05,0.1484985765314086,0.03017582,-5.68E-07,-0.005011934,0.00097233,-9.28E-07,-7.35E-07,3.525231818059676e-06,0.016881542,3.1,0,0.003698016,159.649636,35.971196,snia-cosmo,norm,1,1,2018lpa,96.55172413793105
48,ZTF18aahrdpu,0.10156591,2.723e-05,z_gal,58222.38060831076,0.000480645,1.2573153549004024,-0.045887661,1.4018204623716883,3.5929876759204545e-05,0.8630973423068105,0.084981934,-3.12E-05,-0.608105995,0.073086101,-3.25E-06,-2.34E-06,-0.010820863,0.032886154,3.1,0,0.4773764182495316,127.808004,28.280239,snia,,1,0,,100
49,ZTF18aahshhp,0.059615,1.414e-05,z_gal,58911.30113880571,0.001352036,-0.721587585,-0.043226152,0.1387938760599354,4.280571453696674e-05,0.2287905644049187,0.028055056,-5.65E-07,0.017241058,0.000605258,-2.24E-06,-1.02E-06,0.001149837,0.009230399,3.1,0,0.3219292177096283,190.20547,25.750446,snia-cosmo,norm,1,1,2020dln,100
50,ZTF18aahsmrw,0.07839277,2.081e-05,z_gal,58233.35714104441,0.000379296,-0.122826738,0.1449492981408791,0.2019013404897123,1.3001924406249228e-05,0.1309484601575837,0.03217178,-7.16E-08,-0.016798526,0.000156342,-3.83E-07,-3.46E-07,0.000294093,0.026945137,3.1,0,4.594439311794587e-31,181.95224,22.597199,snia-cosmo,norm,1,0,,97.81659388646288
51,ZTF18aahtjsc,0.05287786,1.069e-05,z_gal,58576.411072420175,0.000686,-0.015980282,0.247028161,0.1748589491253369,2.4904055234212566e-05,0.1700803562535707,0.032269635,-8.31E-07,0.000306126,0.000602772,-9.50E-07,-6.69E-07,-1.84E-05,0.01465611,3.1,0,0.002068969,169.205149,46.910989,snia-cosmo,norm,1,1,2019cdd,100
52,ZTF18aahvndq,0.01543852,1.82e-05,z_gal,58991.683403291456,0.012225948,-0.956197059,0.091004269,0.1774845210384228,0.000425818,0.087389082,0.032024005,-6.65E-07,-0.007007115,-0.000158955,-4.70E-06,-1.15E-05,-0.00018009,0.010924681,3.1,0,0.9724669376219416,198.722696,27.008415,snia-cosmo,norm,1,1,2020jhf,100
53,ZTF18aaiajvb,0.09498793,0.00300832,z_snid,58214.04827482719,0.000558411,0.8103684109652817,-0.082402307,0.092266917,1.8162623608401524e-05,0.111616495,0.031153875,4.28172999229964e-07,-0.002529253,-0.000843569,-5.60E-07,-4.89E-07,0.000515125,0.064389609,3.1,0,0.039583284,246.055817,25.272064,snia,,1,1,2018baz,100
54,ZTF18aaialps,0.14132799,0.00310846,z_snid,58208.93916937746,0.000210701,2.434401884931157,-0.029998906,0.179667435,6.799031062304815e-06,0.1822232520645434,0.035485388,1.9998315865350002e-07,-0.004728489,-0.00150503,-2.48E-07,-1.93E-07,-0.000538033,0.016313313,3.1,0,1.7702437757681647e-05,254.749876,34.580543,snia-cosmo,norm,1,1,,100
55,ZTF18aaibcxu,0.0528977,0.00440454,z_snid,58170.79202155259,0.001762782,-1.198457485,-0.064377502,2.5095870530021784,0.000308517,0.8799729436509149,0.1488367510506599,0.000456491,-1.937486517,-0.359315859,-0.00025046,-3.97E-05,0.1261597383399433,0.01665757,3.1,0,0.049799057,239.746224,63.710516,snia-cosmo,norm,0,0,2018zc,100
56,ZTF18aaibibr,0.06181464,0.00042022,z_nonSEDm,58207.50352187292,0.000295093,0.108357722,0.5410600944124642,0.1006608776624489,9.651049639248097e-06,0.1504295460576941,0.030107877,5.8032242840232964e-08,0.002900107,-0.000387357,-5.23E-09,-2.51E-07,-0.000783912,0.027259984,3.1,0,1.4642768575569657e-12,261.641607,34.373577,snia-cosmo,norm,1,0,2018baw,100
57,ZTF18aaifxvz,0.02568444,1.414e-05,z_gal,59006.06452650588,0.00372119,-2.740232676,0.2024111422574747,0.1888757656342932,0.000178273,0.2930285285143559,0.052163454,-4.56E-06,0.026244832,-0.000375742,-1.74E-05,-7.23E-06,0.000882214,0.014163903,3.1,0,0.2871268615691426,170.555313,24.317404,snia-cosmo,norm,1,1,2020lyo,100
58,ZTF18aaigbvt,0.11544146,6.375e-05,z_gal,58205.87329778553,0.000268808,2.6598548391667705,-0.236924298,2.155248504528572,1.743281055327343e-05,1.2874975749982762,0.081369421,-3.40E-06,-1.707202474,-0.072473047,-7.40E-06,-4.49E-07,-0.005568757,0.024828267,3.1,0,0.6584424966160773,174.115657,17.921411,snia-cosmo,norm,1,0,,100
59,ZTF18aailmnv,0.08363972,0.00436606,z_snid,58327.36172104918,0.000791626,0.3683545523992547,-0.080603352,0.1078489239989721,2.493275616113612e-05,0.1414223396784696,0.028013972,4.710972050306242e-07,-0.003422617,-0.000394029,-8.96E-07,-5.85E-07,0.000200917,0.008361873,3.1,0,0.562945453,214.202065,58.485417,snia,,1,1,2018ebo,100
60,ZTF18aaimxdx,0.04299071,3.371e-05,z_gal,58217.30809390102,0.000521154,-2.618819551,0.4435993709146748,0.1156124617009481,2.421896290238923e-05,0.099814263,0.038684105,3.180234480924774e-07,-0.00081869,-0.000731575,-9.54E-07,-8.61E-07,0.001168018,0.028706504,3.1,0,1.9984429949070743e-16,266.036898,39.355355,snia-pec,91bg,1,0,2018bay,99.33774834437088
61,ZTF18aairuad,0.06466153,1.14e-05,z_gal,58229.20279877532,0.000891396,0.5494572418395482,-0.038371616,0.089853912,2.7260892206626105e-05,0.083297037,0.02907272,-1.44E-07,-0.001676833,0.000263938,-1.33E-07,-6.78E-07,-0.000135569,0.014202453,3.1,0,0.8180960772888706,177.939735,57.799506,snia-cosmo,norm,1,1,2018baq,100
62,ZTF18aaiscil,0.02461709,0.00289871,z_snid,58164.35036189201,0.008353809,-0.777142959,-0.359462481,2.3948517068965884,0.001039351,1.0934496076841749,0.1150127020641334,0.000570993,-1.227623327,-0.102339098,-0.00106641,7.911326703893232e-05,-0.079595816,0.010417983,3.1,0,3.5668494932476857e-07,185.392571,55.574458,snia,,0,0,2018aae,100
63,ZTF18aaisqmw,0.0527765,1.008e-05,z_gal,59204.38400931357,0.000799951,0.4519946181249995,0.1406493377163532,0.2002622299405629,3.4661331603709294e-05,0.2615059732518238,0.035811954,1.497824318372439e-06,-0.016107457,-0.001411534,-4.84E-06,-1.09E-06,0.003581841,0.012115007,3.1,0,0.8615012588591157,176.357595,55.527,snia,,1,1,2020acqt,100
64,ZTF18aaitbcm,0.10293914,0.0004261,z_nonSEDm,58223.534493727326,0.000478774,1.307990420828364,-0.12731904,0.174861356,1.4976439714711162e-05,0.1174840100362802,0.030881743,-3.63E-07,-0.009834921,0.000948292,1.7730031869443216e-08,-3.97E-07,-0.00055415,0.014143563,3.1,0,0.9467621532714006,200.670669,54.352329,snia,,1,1,2018awa,99.01960784313724
65,ZTF18aaitowa,0.12330656,4.275e-05,z_gal,58220.30791280772,0.000266742,0.9642822027741896,0.031700479,0.1773888431525847,8.998197716703738e-06,0.1696360641294929,0.033006209,-1.68E-07,-0.005079999,0.000317645,-3.68E-07,-2.54E-07,0.000483254,0.027914897,3.1,0,0.019807694,241.149527,71.47552,snia-cosmo,norm,1,1,2018bax,100
66,ZTF18aaiwkwk,0.08583829,1.941e-05,z_gal,58234.02813619861,0.000708686,0.6295316830572641,-0.224971817,0.078339134,2.0510328355936088e-05,0.064052902,0.02759545,1.5449637824338725e-07,-0.003358492,-0.000122526,2.167525267942938e-08,-4.77E-07,-0.000240645,0.024735611,3.1,0,3.926532054236298e-25,239.192934,35.024703,snia,,1,0,2018bcp,99.73154362416108
67,ZTF18aaixjrc,0.10607894,1.599e-05,z_gal,58900.69856183165,0.000309477,-1.723971371,-0.052587516,0.084956195,9.24108228837856e-06,0.1257767795631964,0.027094469,5.6758322956921074e-08,0.001153763,-0.000175873,-6.62E-08,-2.16E-07,-4.30E-05,0.008037038,3.1,0,1.4156243358196837e-06,213.379287,43.621716,snia,,1,1,,99.63768116
68,ZTF18aaiykoz,0.03065642,1.249e-05,z_gal,59024.62485895476,0.006476583,0.9270401028550068,-0.047763482,0.039884709,0.000190605,0.033252838,0.026085185,1.6027467756628351e-06,-0.000321874,-0.000258479,1.113794247635366e-06,-4.32E-06,-0.000236099,0.013548926,3.1,0,0.9999982224215656,239.497841,40.033895,snia-cosmo,norm,1,1,2020mcc,100
69,ZTF18aaizerg,0.06846052,1.46e-05,z_gal,58852.80832,0.000678003,-1.206520734,0.073268074,0.1647405230287404,2.136896049855907e-05,0.08352567,0.027232065,-1.75E-07,-0.006873464,-0.000234735,-1.41E-07,-4.99E-07,-3.70E-06,0.022999586,3.1,0,0.039520035,219.698213,50.102776,snia-cosmo,norm,1,1,2019zbj,100
